UserID,Age,Gender,Region,Preferred_Language,Subscription_Plan,Signup_Date,Monthly_Spend_USD,Total_Watch_Hours_90,Num_Sessions_Last_30,Avg_Session_Min,Favorite_Genre,Preferred_Device,Num_Ratings,Avg_Rating,Reviews_Count,Sentiment_Score,Avg_Ad_View_Sec,Ad_Click_Rate,Implicit_Pref_Score,Top_Content_1,Top_Content_2,Top_Content_3,Last_Active_Date,Churn,Liked_Genres
200023,30,Female,India,English,Basic,14-12-2020,3.99,20.35,2,46.52,Comedy,Tablet,5,4.68,2,0.08,8,0.153,5.93,5287,5504,5701,31-10-2025,0,Comedy;Horror
200024,40,Male,India,English,Standard,18-08-2022,7.99,68.05,2,34.18,Thriller,Mobile,2,4.13,0,0.31,17.1,0.014,20.06,5256,5628,5504,01-11-2025,0,Thriller;Documentary
200025,50,Male,India,English,Basic,03-04-2025,3.99,41.67,9,31.33,Action,TV,7,4.6,3,1,7.82,0.171,3.82,5798,5661,5659,03-11-2025,0,Action;Kids
200026,26,Male,Canada,English,Standard,09-08-2020,7.99,27.41,9,36.85,Romance,Mobile,7,4.28,1,-0.46,10.25,0.065,2.6,5947,5313,5852,08-11-2025,0,Romance;Horror
200027,19,Male,India,Hindi,Free,09-01-2023,0,25.04,8,41.32,Horror,Mobile,10,3.91,2,0.86,6.83,0.103,3.01,5597,5859,5554,07-11-2025,0,Horror;Kids
200028,40,Male,India,English,Standard,06-08-2022,7.99,26.82,10,25.96,Comedy,Mobile,3,2.9,1,0.02,6.71,0.131,2.02,5420,5791,5428,08-11-2025,0,Comedy;Horror
200029,24,Male,India,Tamil,Basic,02-10-2022,3.99,127.99,3,26.84,Thriller,Mobile,7,3.64,2,0.16,10.1,0.004,31.83,5829,5288,5471,18-10-2025,0,Thriller;Comedy
200030,18,Male,India,English,Basic,08-02-2020,3.99,61.55,8,41.5,Thriller,Desktop,6,3.6,2,-0.59,10.6,0,6.84,5539,5730,5866,25-10-2025,0,Thriller;Comedy
200031,40,Male,India,English,Basic,04-07-2021,3.99,129.82,8,17.93,Comedy,Tablet,2,3.12,4,1,7.12,0.031,15.09,5742,5508,5513,03-11-2025,0,Comedy;Documentary
200032,34,Male,India,Hindi,Basic,03-03-2023,3.99,17.26,8,29.16,Drama,Mobile,2,2.91,1,0.33,12.13,0.298,1.77,5291,5071,5324,18-10-2025,0,Drama;Romance
200033,26,Male,India,English,Standard,16-02-2024,7.99,9.04,5,65.41,Horror,Mobile,3,4.1,2,0.6,12.94,0.025,1.36,5316,5161,5616,21-10-2025,0,Horror;Comedy
200034,45,Male,UAE,English,Basic,04-12-2020,3.99,49.71,4,25.32,Documentary,Desktop,4,3.99,2,-0.7,8.73,0.011,9.88,5800,5785,5255,16-10-2025,0,Documentary;Kids
200035,40,Female,India,Hindi,Premium,10-08-2022,12.99,90.95,7,46.48,Thriller,TV,2,3.1,3,-0.19,25.74,0.089,12.09,5858,5127,5721,09-11-2025,0,Thriller;Romance
200036,32,Female,India,English,Premium,09-03-2023,12.99,115.9,6,29.14,Action,Mobile,9,3.35,0,0.45,14,0.009,13.54,5132,5456,5730,30-10-2025,0,Action;Comedy
200037,18,Male,Canada,Telugu,Standard,07-07-2021,7.99,90.54,7,40.09,Drama,Mobile,7,4.5,3,0.1,12.71,0.023,10.38,5603,5682,5590,02-11-2025,0,Drama;Drama
200038,36,Female,USA,English,Free,17-07-2024,0,86.64,0,41.54,Thriller,Mobile,8,3.27,3,0.47,7.94,0.032,96.6,5868,5529,5942,29-10-2025,0,Thriller;Romance
200039,36,Female,India,English,Basic,29-08-2024,3.99,64.23,4,46.29,Action,Mobile,3,3.9,1,1,12.83,0.102,12.76,5741,5304,5051,09-09-2025,1,Action;Horror
200040,34,Male,India,Tamil,Standard,23-09-2021,7.99,20.43,2,33,Thriller,Mobile,7,3.69,2,0.5,13.44,0.121,8.04,5539,5490,5800,31-10-2025,0,Thriller;Drama
200041,40,Female,India,English,Basic,04-03-2020,3.99,9.71,6,54.89,Horror,Mobile,3,4.1,1,-0.07,11.98,0.009,1.59,5303,5239,5100,06-11-2025,0,Horror;Drama
200042,40,Female,USA,English,Free,12-07-2021,0,91.09,2,29.11,Action,Mobile,10,3.29,0,-0.19,20.51,0.038,28.47,5902,5176,5724,25-10-2025,0,Action;Horror
200043,50,Male,Australia,English,Standard,29-12-2022,7.99,53.46,8,37.34,Comedy,Mobile,4,3.85,3,-0.26,1.79,0.114,6.48,5978,5210,5464,27-10-2025,0,Comedy;Comedy
200044,50,Male,USA,English,Standard,25-01-2022,7.99,134.14,1,37.45,Romance,Mobile,7,3.9,3,-0.06,9.72,0.066,61.02,5282,5996,5499,09-11-2025,0,Romance;Kids
200045,50,Female,USA,Telugu,Standard,29-07-2024,7.99,25.58,7,23.78,Drama,Desktop,2,3.94,0,-0.03,16.28,0.072,2.78,5492,5569,5915,10-09-2025,1,Drama;Romance
200046,20,Female,UK,English,Free,21-06-2022,0,43.94,0,32.14,Comedy,TV,2,3.85,2,0.27,6.62,0.057,50.64,5280,5359,5237,30-10-2025,0,Comedy;Thriller
200047,40,Male,India,Tamil,Standard,14-06-2024,7.99,25.3,6,36.62,Comedy,Mobile,5,4.01,2,0.52,2.72,0.074,3.4,5500,5189,5807,04-11-2025,0,Comedy;Drama
200048,28,Male,India,Spanish,Basic,23-07-2022,3.99,1.93,6,30.68,Thriller,Desktop,10,5,5,0.46,8.89,0.002,0.24,5199,5509,5472,03-11-2025,0,Thriller;Kids
200049,22,Male,USA,English,Basic,03-04-2022,3.99,83.78,8,59.41,Romance,Desktop,6,5,2,0.28,18.26,0.15,11.04,5375,5556,5398,29-10-2025,0,Romance;Horror
200050,32,Male,Canada,Spanish,Premium,24-03-2020,12.99,22.15,5,26.61,Thriller,Mobile,4,3.42,0,0.32,6.76,0.016,3,5300,5919,5157,23-10-2025,0,Thriller;Drama
200051,20,Female,India,English,Basic,25-06-2023,3.99,10.73,8,46.79,Romance,Mobile,1,2.41,0,1,9.86,0.066,1.13,5910,5972,5298,09-11-2025,0,Romance;Drama
200052,24,Male,USA,French,Basic,22-08-2023,3.99,34.71,5,43.56,Thriller,TV,8,4.16,2,-0.23,14.53,0.187,4.72,5909,5634,5014,03-11-2025,0,Thriller;Comedy
200053,20,Male,India,English,Free,02-03-2025,0,24.7,7,34.86,Comedy,Desktop,5,3.91,2,0.18,8.52,0.072,3.09,5666,5983,5116,25-10-2025,0,Comedy;Comedy
200054,28,Female,India,Hindi,Premium,05-11-2023,12.99,84.83,5,26.35,Romance,Tablet,3,4.44,2,-0.87,9.36,0.071,13.58,5299,5821,5139,22-10-2025,0,Romance;Drama
200055,24,Male,India,English,Standard,15-05-2022,7.99,71.82,8,27.32,Drama,Desktop,4,3.97,3,-0.03,8.09,0.035,8.68,5555,5033,5075,08-11-2025,0,Drama;Horror
200056,32,Male,India,English,Standard,16-09-2022,7.99,25.43,2,29.82,Drama,TV,3,3.84,1,-0.34,8.59,0.024,10.02,5322,5501,5815,10-11-2025,0,Drama;Kids
200057,28,Female,UK,Hindi,Standard,08-08-2020,7.99,15.3,3,17.14,Thriller,Mobile,3,4.48,1,-0.24,5.02,0.406,3.86,5110,5312,5360,09-11-2025,0,Thriller;Documentary
200058,19,Female,India,Hindi,Free,05-02-2025,0,63.96,0,24.97,Comedy,Mobile,4,4.56,2,-0.51,10.46,0.178,58.47,5623,5540,5024,13-10-2025,0,Comedy;Comedy
200059,22,Female,USA,English,Basic,25-01-2020,3.99,69.54,6,20.18,Drama,Mobile,4,2.97,1,-0.61,18.39,0.071,11.41,5471,5151,5406,05-11-2025,0,Drama;Comedy
200060,32,Female,UK,English,Basic,10-10-2024,3.99,12.17,9,48.46,Action,Mobile,5,3.31,2,0.27,21.5,0.055,1.27,5412,5575,5689,06-11-2025,0,Action;Comedy
200061,40,Male,Canada,Hindi,Free,29-12-2021,0,5.28,3,41.18,Thriller,TV,3,3.74,4,0.63,19.5,0.051,1.35,5513,5519,5951,12-09-2025,1,Thriller;Action
200062,50,Male,India,Hindi,Basic,24-03-2023,3.99,27.68,0,42.86,Thriller,Mobile,6,3.86,4,-0.26,12.83,0.008,24.23,5480,5111,5567,12-09-2025,1,Thriller;Romance
200063,19,Female,India,French,Premium,14-12-2022,12.99,18.95,11,40.89,Horror,TV,4,3.66,1,-1,21.95,0.042,1.29,5140,5642,5725,31-10-2025,0,Horror;Kids
200064,34,Male,India,Tamil,Free,04-01-2025,0,18.79,1,36.67,Thriller,Mobile,6,4.06,3,0.27,25.82,0.03,9.25,5878,5961,5326,03-11-2025,0,Thriller;Comedy
200065,32,Male,Australia,French,Basic,20-05-2020,3.99,66.42,11,49.61,Documentary,Mobile,6,4.4,1,0.48,13.09,0.013,5.6,5690,5132,5334,03-11-2025,0,Documentary;Action
200066,34,Male,Canada,Hindi,Basic,06-10-2024,3.99,33.32,5,28.89,Drama,Mobile,5,4.83,2,0.6,6.06,0.057,4.72,5949,5520,5329,10-11-2025,0,Drama;Action
200067,24,Male,India,English,Basic,09-01-2021,3.99,84.71,5,36.07,Thriller,Mobile,7,4.15,2,-0.41,19.87,0.239,11.63,5504,5894,5675,07-11-2025,0,Thriller;Comedy
200068,19,Male,UAE,English,Premium,22-07-2025,12.99,52.78,4,42.47,Documentary,TV,5,3.29,3,-0.16,4.78,0.256,9.36,5060,5305,5300,26-10-2025,0,Documentary;Kids
200069,22,Male,India,Tamil,Basic,17-02-2022,3.99,80.78,10,21.79,Action,TV,6,3.71,1,-0.47,6.68,0.161,6.06,5183,5029,5676,10-11-2025,0,Action;Documentary
200070,40,Male,USA,Hindi,Basic,08-08-2022,3.99,25.64,5,65.97,Romance,Tablet,4,3.75,2,-0.24,1,0.004,3.51,5419,5850,5089,21-10-2025,0,Romance;Action
200071,40,Male,India,English,Standard,29-01-2020,7.99,2.51,4,35.29,Comedy,Mobile,8,4.11,2,-0.27,16.36,0.028,0.49,5957,5823,5015,10-11-2025,0,Comedy;Thriller
200072,28,Female,UK,English,Free,27-10-2022,0,35.35,1,36.42,Drama,Mobile,11,4.03,2,-0.11,1,0.09,19.87,5794,5933,5301,10-11-2025,0,Drama;Action
200073,40,Female,India,French,Basic,09-06-2021,3.99,4.6,4,47.57,Thriller,Mobile,6,5,1,0.05,17.96,0.207,0.98,5927,5351,5634,05-11-2025,0,Thriller;Romance
200074,45,Female,UAE,Hindi,Basic,28-02-2020,3.99,22.52,7,44.15,Comedy,Mobile,3,3.52,0,0.27,22.86,0.012,3.02,5825,5518,5318,13-10-2025,0,Comedy;Action
200075,30,Female,UK,English,Standard,12-09-2020,7.99,51.86,3,35.38,Documentary,Desktop,4,4.03,1,-0.31,22.37,0.171,11.73,5908,5492,5860,08-11-2025,0,Documentary;Comedy
200076,20,Female,UK,English,Premium,03-09-2021,12.99,77.78,4,36.3,Drama,TV,8,5,2,0.12,4.41,0.006,12.51,5733,5408,5178,01-11-2025,0,Drama;Kids
200077,50,Male,India,English,Standard,28-01-2021,7.99,78.94,10,19.96,Horror,Desktop,6,3.45,1,-0.34,1,0.001,7.03,5901,5508,5462,03-11-2025,0,Horror;Documentary
200078,18,Female,India,English,Basic,10-01-2022,3.99,7.54,4,29.44,Horror,Mobile,5,3.89,3,-0.85,8.15,0.034,1.43,5227,5624,5269,10-11-2025,0,Horror;Drama
200079,22,Female,India,English,Standard,17-12-2022,7.99,21.91,8,40.17,Drama,Desktop,6,3.23,1,0.52,17.28,0.022,2.87,5391,5105,5105,09-11-2025,0,Drama;Kids
200080,19,Female,India,English,Free,22-03-2022,0,20.22,3,39.44,Comedy,Mobile,4,3.85,4,-0.2,19.22,0.065,4.19,5144,5719,5671,16-10-2025,0,Comedy;Kids
200081,30,Male,India,Tamil,Free,28-01-2025,0,39.92,1,47.21,Kids,Desktop,5,3.33,2,-0.84,15.99,0.036,22.17,5736,5552,5517,09-11-2025,0,Kids;Thriller
200082,22,Male,Canada,English,Basic,31-03-2020,3.99,45.27,9,33.79,Horror,Mobile,14,4.43,2,0.54,15.17,0.001,4.32,5564,5780,5339,01-09-2025,1,Horror;Action
200083,19,Male,USA,Telugu,Basic,28-10-2020,3.99,15.28,6,21.13,Thriller,Mobile,4,3.89,0,0.05,26.17,0.332,2.47,5593,5320,5392,09-10-2025,0,Thriller;Documentary
200084,50,Male,India,Telugu,Standard,14-02-2021,7.99,111.24,8,45.57,Comedy,Mobile,6,3.24,2,0.47,9.13,0.011,12.33,5661,5046,5141,10-11-2025,0,Comedy;Thriller
200085,26,Female,India,English,Standard,14-05-2025,7.99,11.1,5,49.36,Thriller,Desktop,2,4.3,6,0.45,7.33,0.359,2.09,5027,5241,5169,07-09-2025,1,Thriller;Kids
200086,26,Female,India,Hindi,Premium,21-01-2020,12.99,87.1,4,43.98,Action,Mobile,5,3.91,2,-0.46,4.87,0.001,17.19,5744,5270,5017,09-11-2025,0,Action;Kids
200087,34,Male,USA,English,Standard,09-07-2024,7.99,25.4,8,33.36,Comedy,Mobile,5,4.37,2,0.76,14.6,0.227,2.71,5623,5667,5544,09-11-2025,0,Comedy;Romance
200088,22,Other,India,Spanish,Standard,28-11-2020,7.99,95.01,4,45.44,Romance,Desktop,4,3.11,0,-0.9,10.92,0.052,22.53,5508,5628,5005,10-11-2025,0,Romance;Kids
200089,26,Female,Canada,English,Free,21-05-2022,0,15.72,5,69.29,Drama,Mobile,3,4.02,4,-0.04,16.95,0.142,2.48,5884,5037,5894,01-11-2025,0,Drama;Action
200090,45,Male,India,Hindi,Free,22-10-2024,0,149.2,5,36.15,Drama,Mobile,6,4.26,1,-0.08,9.3,0.063,27.9,5591,5205,5137,29-10-2025,0,Drama;Action
200091,19,Male,Australia,Hindi,Standard,25-08-2022,7.99,68.96,6,21.88,Comedy,Mobile,5,3.55,1,-0.27,15.77,0.038,8.15,5791,5761,5619,31-10-2025,0,Comedy;Thriller
200092,34,Male,UAE,English,Basic,21-12-2022,3.99,98.52,5,29.14,Comedy,Mobile,7,3.04,3,0.94,9.7,0.07,13.55,5127,5486,5162,17-10-2025,0,Comedy;Action
200093,40,Male,India,English,Standard,25-04-2020,7.99,175.22,9,41.25,Comedy,Desktop,8,3.78,2,0.38,11.02,0.033,17.09,5456,5110,5769,10-11-2025,0,Comedy;Horror
200094,19,Male,Canada,Hindi,Free,25-10-2021,0,21.08,5,18.95,Thriller,TV,6,4.54,4,-0.64,11.59,0.023,3.63,5281,5486,5680,08-11-2025,0,Thriller;Kids
200095,34,Male,India,Tamil,Free,29-01-2024,0,23.83,8,36.69,Comedy,Mobile,5,4.48,1,-0.56,1.8,0.026,2.76,5395,5318,5463,07-11-2025,0,Comedy;Action
200096,50,Male,UAE,English,Basic,28-12-2022,3.99,92.03,4,38.8,Drama,Tablet,8,3.54,1,1,11.16,0.034,14.99,5319,5835,5438,09-11-2025,0,Drama;Drama
200097,22,Male,India,Hindi,Basic,02-03-2025,3.99,40.02,2,50.35,Comedy,Mobile,9,3.03,4,-0.09,15.37,0.061,14.39,5441,5592,5382,10-11-2025,0,Comedy;Thriller
200098,50,Female,UAE,English,Free,10-02-2024,0,10.29,7,48.1,Horror,Mobile,3,3.54,4,-0.28,6.07,0.024,1.1,5341,5076,5800,05-11-2025,0,Horror;Comedy
200099,30,Male,UAE,Hindi,Standard,24-12-2024,7.99,9.66,10,43.65,Comedy,Mobile,5,3.52,5,0.89,23.46,0.105,1.04,5694,5782,5382,25-10-2025,0,Comedy;Horror
200100,50,Female,UAE,English,Free,29-06-2023,0,31.02,5,13.37,Thriller,Mobile,2,4.07,1,-0.87,12.03,0.017,4.83,5119,5610,5482,12-10-2025,0,Thriller;Kids
200101,28,Male,UK,Spanish,Standard,21-02-2021,7.99,32.32,3,44.21,Thriller,Mobile,6,3.74,0,1,8.24,0.009,7.31,5778,5498,5355,10-11-2025,0,Thriller;Comedy
200102,40,Other,India,English,Basic,15-12-2020,3.99,65.98,6,42.06,Horror,Desktop,9,3.35,4,-0.28,8.06,0.114,8.64,5690,5479,5245,26-08-2025,1,Horror;Romance
200103,32,Male,India,English,Free,04-02-2021,0,18.04,5,37.56,Drama,TV,5,4.46,2,0.51,20.22,0.012,3.53,5713,5935,5625,25-10-2025,0,Drama;Drama
200104,50,Male,India,English,Basic,05-04-2023,3.99,121.4,9,17.7,Action,Mobile,7,3.88,1,-0.09,7.05,0.007,12.06,5368,5389,5690,07-11-2025,0,Action;Thriller
200105,30,Female,India,English,Standard,03-07-2021,7.99,23.45,4,27.23,Romance,Mobile,7,4.06,4,-0.74,13.79,0.196,4.57,5385,5588,5955,10-11-2025,0,Romance;Thriller
200106,24,Female,USA,Hindi,Basic,25-03-2020,3.99,11.19,8,23.33,Action,TV,3,2.77,0,0.31,17.3,0.105,1.28,5510,5794,5476,26-09-2025,0,Action;Drama
200107,45,Female,India,English,Standard,24-08-2023,7.99,47.11,10,14.85,Drama,Desktop,5,2.35,3,0.77,15.33,0.155,5.02,5982,5593,5465,01-11-2025,0,Drama;Drama
200108,19,Male,Australia,Telugu,Free,22-06-2024,0,43.22,7,34.97,Action,Desktop,5,2.94,1,-1,8.62,0.025,4.99,5582,5364,5190,02-10-2025,0,Action;Romance
200109,24,Male,USA,English,Standard,31-01-2022,7.99,98.06,8,27.02,Drama,Mobile,4,3.51,2,-0.49,17.04,0.174,9.5,5158,5309,5494,05-11-2025,0,Drama;Comedy
200110,30,Female,UAE,English,Basic,06-07-2021,3.99,40.08,7,61.25,Action,TV,5,4.15,1,0.94,12.93,0.03,5.2,5823,5063,5523,06-11-2025,0,Action;Documentary
200111,34,Female,India,English,Standard,09-09-2025,7.99,176.83,6,33.31,Romance,Mobile,4,2.39,4,0.44,1.68,0.113,25.18,5610,5267,5535,09-11-2025,0,Romance;Thriller
200112,32,Female,UAE,English,Standard,27-05-2025,7.99,51.42,7,47.94,Drama,Mobile,8,4.76,1,0.48,19.34,0.008,5.3,5717,5033,5631,01-10-2025,0,Drama;Documentary
200113,40,Female,Canada,English,Premium,09-03-2023,12.99,52.9,8,19.31,Documentary,Mobile,7,3.9,4,0.76,8.32,0.257,5.93,5086,5809,5282,09-11-2025,0,Documentary;Horror
200114,40,Male,India,English,Basic,10-11-2025,3.99,49.78,4,29.7,Drama,Mobile,6,4.62,0,0.48,10.95,0.043,10.2,5902,5040,5831,11-11-2025,0,Drama;Drama
200115,40,Female,USA,English,Free,16-03-2022,0,9.19,5,35.97,Documentary,Mobile,7,3.27,3,0.29,13.86,0.103,1.65,5361,5686,5430,04-11-2025,0,Documentary;Thriller
200116,45,Male,UK,English,Free,28-04-2022,0,56.23,13,25.92,Thriller,Mobile,10,4.1,1,0.87,8.81,0.033,4.81,5792,5260,5581,07-11-2025,0,Thriller;Comedy
200117,32,Male,India,Hindi,Standard,24-12-2022,7.99,126.77,2,30.78,Drama,Mobile,4,3.85,2,-0.03,16.54,0.003,40.93,5085,5736,5858,08-11-2025,0,Drama;Thriller
200118,45,Male,India,Hindi,Standard,02-11-2025,7.99,60.19,8,32.82,Drama,TV,9,4.29,0,0.19,5.38,0.039,6.72,5359,5735,5646,01-11-2025,0,Drama;Documentary
200119,45,Female,India,English,Standard,15-09-2023,7.99,22,8,32.66,Horror,Mobile,9,3.66,1,0.7,8.55,0.003,2.03,5727,5267,5253,07-11-2025,0,Horror;Thriller
200120,18,Male,India,English,Basic,03-08-2023,3.99,45.35,3,53.55,Drama,Mobile,9,4.08,2,-0.26,19.35,0.167,12.84,5133,5977,5563,07-09-2025,1,Drama;Drama
200121,32,Male,India,French,Basic,04-04-2024,3.99,122.16,5,38.78,Drama,Mobile,3,4.46,1,1,12.15,0.025,17.09,5903,5667,5043,11-11-2025,0,Drama;Drama
200122,28,Female,India,Hindi,Free,20-06-2022,0,40.27,2,39.8,Comedy,Tablet,3,3.41,1,0.37,5.66,0.209,15.75,5387,5776,5482,03-11-2025,0,Comedy;Drama
200123,32,Male,India,Hindi,Premium,18-04-2021,12.99,122.75,4,40.4,Action,Mobile,8,3.95,1,-0.49,12.47,0.033,23.06,5247,5661,5938,10-11-2025,0,Action;Comedy
200124,30,Female,India,English,Standard,24-04-2022,7.99,107.39,3,41.13,Thriller,Mobile,6,2.67,2,0.08,14.41,0.023,25.1,5141,5225,5141,09-11-2025,0,Thriller;Kids
200125,18,Male,Australia,Tamil,Premium,31-07-2020,12.99,23.06,4,34.17,Drama,Mobile,9,4.22,1,-0.63,2.48,0.098,4.3,5950,5383,5511,30-10-2025,0,Drama;Kids
200126,40,Male,India,Tamil,Basic,25-02-2025,3.99,31.81,6,31.79,Comedy,Desktop,2,4.97,0,0.25,21.93,0.034,5.36,5447,5498,5537,08-11-2025,0,Comedy;Kids
200127,30,Female,Australia,Hindi,Standard,09-12-2021,7.99,88.61,11,36.67,Drama,Tablet,6,3.05,3,-0.03,22.74,0.049,8.8,5076,5639,5898,10-11-2025,0,Drama;Action
200128,30,Male,India,French,Standard,17-06-2024,7.99,12.91,4,46.57,Drama,Mobile,2,3.75,2,-0.32,12.72,0.03,3.07,5902,5005,5270,03-11-2025,0,Drama;Comedy
200129,36,Male,India,English,Basic,19-07-2021,3.99,86.91,6,46.26,Comedy,Mobile,9,4.33,1,-0.87,10.8,0.194,13.43,5098,5446,5913,09-11-2025,0,Comedy;Drama
200130,20,Male,India,English,Standard,07-11-2021,7.99,13.96,4,32.6,Romance,Desktop,6,3.82,2,-0.28,12.14,0.004,2.36,5975,5288,5361,08-11-2025,0,Romance;Romance
200131,18,Male,India,Tamil,Premium,22-02-2021,12.99,44.28,9,42.68,Drama,Mobile,1,3.9,1,0.09,17.36,0.193,4.23,5303,5857,5616,02-11-2025,0,Drama;Thriller
200132,30,Other,India,Telugu,Premium,03-04-2023,12.99,152.37,8,33.05,Comedy,TV,3,3.57,2,-0.02,14.72,0.038,15.5,5466,5058,5936,29-10-2025,0,Comedy;Thriller
200133,20,Male,USA,English,Standard,27-01-2025,7.99,48.21,3,35.34,Comedy,Mobile,4,3.54,0,-0.65,13.44,0.256,13.06,5055,5072,5295,29-10-2025,0,Comedy;Horror
200134,20,Female,India,English,Basic,12-11-2020,3.99,44.43,13,30.26,Horror,Mobile,4,3.75,3,0.21,20.29,0.07,3.16,5305,5667,5665,05-11-2025,0,Horror;Documentary
200135,18,Male,USA,English,Basic,19-10-2022,3.99,136.41,7,33.18,Horror,Mobile,6,3.83,2,-0.39,18.79,0.005,17.85,5953,5794,5475,05-11-2025,0,Horror;Thriller
200136,36,Female,USA,English,Premium,17-01-2021,12.99,135.19,9,48.41,Romance,Mobile,8,3.09,1,0.75,6.24,0.256,10.86,5771,5680,5816,27-10-2025,0,Romance;Kids
200137,24,Female,India,Tamil,Free,18-08-2020,0,25.19,2,35.92,Drama,TV,5,3.76,3,0.84,17.32,0.055,9.35,5534,5541,5883,09-11-2025,0,Drama;Documentary
200138,34,Female,India,Hindi,Standard,14-08-2020,7.99,109.35,10,36.35,Drama,Desktop,11,4.74,3,0.05,18.91,0.259,11.74,5035,5969,5472,10-11-2025,0,Drama;Thriller
